ID,word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,13.5186575249827,None,space,1.8388597459997982,13.5186575249827,None,,,,,,,,,07,001,2022_Jan_25_1859,learn_exp,2021.2.3,None,
,,,,,,,,,,,,15.38907298000413,None,space,1.418079271010356,15.38907298000413,None,,,07,001,2022_Jan_25_1859,learn_exp,2021.2.3,None,
1,badago_chain.wav,0,0,0,0,,,,,,,,,,,,,16.839454015662582,None,07,001,2022_Jan_25_1859,learn_exp,2021.2.3,None,
4,doloze_chain.wav,0,1,1,3,,,,,,,,,,,,,17.672504992664713,None,07,001,2022_Jan_25_1859,learn_exp,2021.2.3,None,
2,balabo_chain.wav,0,2,2,1,,,,,,,,,,,,,18.505769700659826,None,07,001,2022_Jan_25_1859,learn_exp,2021.2.3,None,
3,bolelo_chain.wav,0,3,3,2,,,,,,,,,,,,,19.338832544661514,None,07,001,2022_Jan_25_1859,learn_exp,2021.2.3,None,
3,bolelo_chain.wav,1,0,4,2,,,,,,,,,,,,,20.17259183366356,None,07,001,2022_Jan_25_1859,learn_exp,2021.2.3,None,
4,doloze_chain.wav,1,1,5,3,,,,,,,,,,,,,21.00870336566392,None,07,001,2022_Jan_25_1859,learn_exp,2021.2.3,None,
1,badago_chain.wav,1,2,6,0,,,,,,,,,,,,,21.839668664648585,None,07,001,2022_Jan_25_1859,learn_exp,2021.2.3,None,
2,balabo_chain.wav,1,3,7,1,,,,,,,,,,,,,22.67258530567439,None,07,001,2022_Jan_25_1859,learn_exp,2021.2.3,None,
2,balabo_chain.wav,2,0,8,1,,,,,,,,,,,,,23.50576805466359,None,07,001,2022_Jan_25_1859,learn_exp,2021.2.3,None,
4,doloze_chain.wav,2,1,9,3,,,,,,,,,,,,,24.33957280667188,None,07,001,2022_Jan_25_1859,learn_exp,2021.2.3,None,
3,bolelo_chain.wav,2,2,10,2,,,,,,,,,,,,,25.172307435659846,None,07,001,2022_Jan_25_1859,learn_exp,2021.2.3,None,
1,badago_chain.wav,2,3,11,0,,,,,,,,,,,,,26.005945720655532,None,07,001,2022_Jan_25_1859,learn_exp,2021.2.3,None,
3,bolelo_chain.wav,3,0,12,2,,,,,,,,,,,,,26.839462415668336,None,07,001,2022_Jan_25_1859,learn_exp,2021.2.3,None,
1,badago_chain.wav,3,1,13,0,,,,,,,,,,,,,27.67274107566142,None,07,001,2022_Jan_25_1859,learn_exp,2021.2.3,None,
2,balabo_chain.wav,3,2,14,1,,,,,,,,,,,,,28.505768914652677,None,07,001,2022_Jan_25_1859,learn_exp,2021.2.3,None,
